color,score,opening,opening_name,moves,date,time_control,moves_pgn,white_elo,black_elo,elo
black,loss,Nc3 d5 e4 d4,Unknown,19,2013.03.18,-,Nc3 d5 e4 d4 Nd5 c6 Nf4 g5 Nfh3 h6 d3 f6 Qh5+ Kd7 Ne2 c5 Bd2 Kc7 O-O-O Be6 Kb1 Qd7 f3 Nc6 f4 g4 Nf2 b6 f5 Kd6 fxe6 Kxe6 Bf4 Ne5 Nxg4 Nxg4 Qxg4+,,1141,1141
black,loss,Nc3 d5 Nf3 d4,Unknown,19,2013.03.17,-,Nc3 d5 Nf3 d4 Na4 b5 Nc5 e6 b4 Nc6 e3 a6 a3 f5 Bb2 dxe3 Be2 exf2+ Kxf2 Qd5 Ke1 Bxc5 Bxg7 Bd4 Nxd4 Nxd4 Bh5+ Ke7 Bxh8 Nc6 Qe2 Nd4 Bxd4 Qxd4 c3 Qd5 Bf3,,1141,1141
black,win,d4 Nc6 d5 Na5,Unknown,13,2013.03.16,-,d4 Nc6 d5 Na5 b4 Nc4 c3 e5 e4 b5 a4 Ba6 Bd3 c6 Qe2 cxd5 exd5 Qh4 axb5 Bxb5 Bxc4 Qxc4 Qc2 Qf1+,1141,,
black,loss,Nf3 d5 c4 d4,Reti Opening,10,2013.03.15,-,Nf3 d5 c4 d4 e4 c5 Bd3 a6 O-O h6 e5 g5 Na3 Nc6 Be4 f6 Qa4 Bd7 Bg6#,,1141,1141
black,loss,Nc3 d5 d4 e6,Unknown,5,2013.03.14,-,Nc3 d5 d4 e6 e4 f5 e5 g5 Qh5+,,1141,1141
black,win,d4 Nf6 d5 d6,Unknown,9,2013.03.13,-,d4 Nf6 d5 d6 c4 Na6 f3 e5 e4 Nc5 Nc3 Nh5 g4 Qh4+ Ke2 Ng3+,1141,,
black,loss,Nf3 d5 Nc3 d4,Reti Opening,13,2013.03.13,-,Nf3 d5 Nc3 d4 Ne4 f5 Nc5 b6 Nd3 c5 Nfe5 g6 Nf4 Bg7 Nc4 g5 Nh5 Bh6 e3 Nf6 Nxf6+ exf6 Qf3 g4 Qxa8,,1141,1141
black,win,d4 Nc6 d5 Nb4,Unknown,14,2013.03.11,-,d4 Nc6 d5 Nb4 c4 e6 a3 Na6 e4 exd5 cxd5 Bd6 Qd3 Nf6 f3 Nc5 Qd2 Nb3 Qc3 Nxa1 b3 c6 Qxa1 Qe7 b4 cxd5,1141,,
black,loss,Nf3 d5 Nc3 d4,Reti Opening,11,2013.03.10,-,Nf3 d5 Nc3 d4 Nb5 c5 e3 a6 Na3 f6 Bd3 e5 c3 Nc6 h3 h6 Bg6+ Ke7 Qb3 Be6 Qxb7+,,1141,1141
black,loss,e4 e5 Bc4 a6,Unknown,4,2013.03.10,-,e4 e5 Bc4 a6 Qh5 g6 Qxe5+,,1141,1141
black,loss,e4 d5 exd5 Qxd5,Scandinavian Defence,13,2013.03.09,-,e4 d5 exd5 Qxd5 Nc3 Qd4 Nge2 Qd8 d3 e5 f4 f6 fxe5 fxe5 d4 Nc6 Be3 Bb4 d5 Nce7 Qd3 c6 Qe4 Ng6 Qxb4,,1141,1141
black,win,d4 Nf6 d5 d6,Unknown,18,2013.03.08,-,d4 Nf6 d5 d6 c4 e5 f3 Be7 e4 O-O g4 Na6 a4 c6 b3 Nb4 Bd2 c5 Bxb4 cxb4 Qd2 a5 g5 Nh5 h4 Ng3 Bg2 Qb6 Ne2 Nxh1 Bxh1 Bh3 Ng3 Qg1+,1141,,
black,loss,d4 d5 Nc3 f5,Queen's Gambit,14,2013.03.07,-,d4 d5 Nc3 f5 Bf4 h6 Qd3 g5 Qg3 e6 Be5 Rh7 Nf3 g4 e3 Ne7 Bxc7 Qd7 Nd2 h5 Bxb8 Rxb8 Qxb8 a6 Bd3 Nc6 Qf4,,1141,1141
black,win,e4 Nf6 e5 d5,Alekhine's Defence,13,2013.03.06,-,e4 Nf6 e5 d5 exf6 e5 d4 exd4 Qxd4 Rg8 fxg7 Bxg7 Qd3 Nc6 Be2 Be6 a3 Bf8 b4 Rxg2 Bf3 Rg6 c4 dxc4,1141,,
black,win,d4 Nc6 d5 Nb8,Unknown,16,2013.03.05,-,d4 Nc6 d5 Nb8 c4 Na6 e4 Nf6 e5 Nb4 exf6 gxf6 a3 Na6 b4 c5 b5 Qa5+ Bd2 Qc7 f4 Nb8 Nf3 Bh6 g3 a6 a4 axb5 axb5 Rxa1,1141,,
