color,score,opening,opening_name,moves,date,time_control,moves_pgn,white_elo,black_elo,elo,platform
black,win,c4 e5 Nc3 Nc6,English Opening,57,2025.10.07,60+1,c4 e5 Nc3 Nc6 e4 Nf6 d3 d6 Bg5 Be7 Nf3 h6 Bxf6 Bxf6 h3 O-O Be2 b6 O-O Bb7 a3 a5 Nd5 Qd7 Qd2 Na7 b4 axb4 axb4 Bxd5 cxd5 Nb5 Rxa8 Rxa8 Rb1 c6 dxc6 Qxc6 Rc1 Qd7 d4 Nxd4 Nxd4 exd4 Bg4 Qe7 Bf5 d5 b5 dxe4 Rc6 Rb8 Qe1 d3 Bxe4 Rd8 Qe3 d2 Bf3 d1=Q+ Bxd1 Rxd1+ Kh2 Qxe3 fxe3 Re1 Rc8+ Kh7 Re8 Rb1 Rf8 Kg6 Rh8 Rxb5 g4 Rb2+ Kg3 Be5+ Kf3 Bf6 Rb8 Rb3 Rc8 b5 Rc7 b4 Kf4 Rb1 h4 Rf1+ Kg3 Rb1 Rc5 b3 h5+ Kh7 e4 b2 e5 Rg1+ Kf2 b1=Q exf6 Qb2+ Ke3 gxf6 Kd3 Rg3+ Kc4 Qb3+ Kd4 Rxg4#,497,494,494,chess.com
black,loss,e4 e5 Nc3 Nc6,Unknown,6,2025.10.07,60+1,e4 e5 Nc3 Nc6 Bb5 a6 Bxc6 bxc6 Nf3 Nf6 Nxe5,500,419,419,chess.com
black,loss,e4 e5 Nf3 Nc6,Unknown,16,2025.10.07,60+1,e4 e5 Nf3 Nc6 Nc3 Nf6 d4 exd4 Nxd4 Nxd4 Qxd4 b6 e5 Nh5 Bb5 f6 exf6 gxf6 Nd5 Bc5 Qe4+ Qe7 Nxe7 Bxe7 Bh6 Rg8 Qe6 c6 Qxg8+ Bf8 Qxf8#,528,492,492,chess.com
black,loss,e4 e5 Nc3 Nf6,Unknown,31,2025.10.07,60+1,e4 e5 Nc3 Nf6 f4 Nc6 fxe5 Nxe5 Nf3 Nxf3+ Qxf3 d6 Bc4 Bg4 Qf4 Be7 O-O Qd7 h3 Bh5 d4 Bg6 Be3 O-O-O d5 Bf8 Bxa7 b6 Qe3 Kb7 Bxb6 cxb6 Na4 Qxa4 Qd3 Re8 Ba6+ Kc7 Qb5 Qxb5 Bxb5 Ra8 a4 Nxe4 Rfe1 Nd2 Red1 Ne4 Re1 Nc5 Re7+ Bxe7 b4 Kb7 bxc5 bxc5 Bc6+ Kc7 a5 Rab8 a6,501,520,520,chess.com
black,loss,d4 d5 e3 c5,Queen's Gambit,49,2025.10.07,60+1,d4 d5 e3 c5 Bb5+ Nc6 Bxc6+ bxc6 c3 cxd4 cxd4 e6 b3 Nf6 a4 Bd6 Ba3 Bb7 Bxd6 Qxd6 Ne2 Ba6 Nd2 O-O O-O Ng4 g3 e5 Re1 Qh6 Nf1 exd4 Nxd4 Bxf1 Qxg4 Bd3 Qd1 Be4 f3 Bf5 Nxf5 Qh5 Nd4 Rae8 f4 Re6 Qxh5 g6 Qf3 Rfe8 Nxe6 Rxe6 Rac1 d4 exd4 Rf6 Rc5 Kg7 Rec1 h6 Rxc6 a6 Rxf6 Kxf6 Rc6+ Kg7 Rxa6 h5 Rd6 Kh6 Rc6 f6 Rxf6 Kg7 Rc6 Kh6 b4 Kg7 b5 Kh6 d5 Kh7 d6 Kg7 d7 Kh7 Qd5 Kh8 d8=Q+ Kh7 Q5d7+ Kh6 Q7e8 Kh7 Rc5 Kh6 Qh8#,499,493,493,chess.com
black,loss,e4 c6 Nc3 d5,Caro-Kann Defence,31,2025.10.07,60+1,e4 c6 Nc3 d5 d4 dxe4 Nxe4 Nf6 Bd3 Nxe4 Bxe4 Nd7 Nf3 Nf6 Qe2 Qa5+ Bd2 Qb6 b3 Be6 O-O O-O-O Bg5 h6 Bf4 Nxe4 Qxe4 c5 Qe5 cxd4 Nxd4 Rxd4 g3 f6 Qb8+ Kd7 Rfd1 Rxd1+ Rxd1+ Kc6 Qc8+ Qc7 Qxc7+ Kb5 c4+ Ka6 Qc5 b6 Qb5+ Kb7 c5 g5 cxb6 axb6 Rc1 Bf5 Rc7+ Kb8 Qxb6+ Ka8 Qa7#,501,471,471,chess.com
black,win,e4 d5 Nf3 dxe4,Scandinavian Defence,9,2025.10.07,60,e4 d5 Nf3 dxe4 Qe2 exf3 Nc3 fxe2 Nd5 Qxd5 g3 Qxh1 d3 Qxf1+ Kd2 e1=Q#,502,509,509,chess.com
black,win,e4 d6 d4 g6,Unknown,20,2025.10.07,60,e4 d6 d4 g6 Nc3 Bg7 Nf3 Nf6 Bc4 O-O O-O c6 h4 d5 exd5 cxd5 Bxd5 Nxd5 Nxd5 Qxd5 g4 b6 h5 gxh5 gxh5 Qxh5 Qd3 Bh3 Qe4 Qg4+ Qxg4 Bxg4 Ne5 Bxe5 Be3 Bg7 Rae1 Nc6,500,492,492,chess.com
black,win,e4 d6 d4 Nf6,Unknown,7,2025.10.07,60,e4 d6 d4 Nf6 e5 dxe5 dxe5 Qxd1+ Kxd1 Ng4 f3 Nf2+,492,522,522,chess.com
black,win,d4 e5 dxe5 Nc6,Unknown,16,2025.10.07,60,d4 e5 dxe5 Nc6 Bf4 f6 exf6 Nxf6 Nf3 Bc5 e3 d5 Bd3 O-O O-O Ne4 Nbd2 Qe7 Nxe4 dxe4 Bg5 Qe6 Nd4 Bxd4 exd4 Qg6 Bb5 Qxg5 Bxc6 Bh3,494,500,500,chess.com
