color,score,opening,moves,date,time_control
black,win,,2,2013.06.11,300+8
black,win,,30,2013.06.10,300+8
black,win,,14,2013.06.10,300+8
black,win,,26,2013.06.10,240+0
black,win,,24,2013.06.10,240+0
black,loss,,18,2013.06.10,240+0
black,win,,24,2013.06.10,300+8
black,win,,24,2013.06.10,360+0
black,loss,,21,2013.06.10,360+0
black,win,,26,2013.06.10,300+8
black,win,,4,2013.06.10,300+8
black,win,,35,2013.06.10,180+10
black,loss,,21,2013.06.10,300+8
black,loss,,10,2013.06.10,240+5
black,loss,,13,2013.06.10,300+8
black,win,,5,2013.06.09,300+8
black,loss,,16,2013.06.09,300+8
black,win,,19,2013.06.09,300+8
black,loss,,15,2013.06.09,300+8
black,win,,23,2013.06.09,300+8
black,loss,,25,2013.06.09,300+8
black,win,,22,2013.06.09,300+8
black,loss,,29,2013.06.09,300+8
black,loss,,30,2013.06.09,300+8
black,loss,,10,2013.06.09,60+0
black,draw,,58,2013.06.09,300+8
black,loss,,36,2013.06.09,300+8
black,win,,39,2013.06.08,300+8
black,win,,11,2013.06.08,300+8
black,win,,28,2013.06.08,300+8
black,win,,28,2013.06.08,300+8
black,win,,27,2013.06.07,300+8
black,loss,,25,2013.06.07,300+8
black,win,,18,2013.06.07,300+8
black,loss,,25,2013.06.07,300+8
black,loss,,25,2013.06.07,300+8
black,win,,23,2013.06.07,300+8
black,win,,22,2013.06.07,300+8
black,loss,,17,2013.06.07,300+8
black,win,,25,2013.06.07,300+8
black,loss,,19,2013.06.07,300+8
black,win,,27,2013.06.07,300+8
black,win,,20,2013.06.07,300+8
black,loss,,18,2013.06.07,300+8
black,win,,44,2013.06.06,300+0
black,win,,28,2013.06.06,300+8
black,loss,,28,2013.06.06,300+8
black,win,,17,2013.06.06,300+8
black,win,,23,2013.06.06,300+8
black,win,,22,2013.06.06,300+8
black,win,,34,2013.06.06,300+8
black,win,,32,2013.06.06,300+8
black,win,,23,2013.06.06,300+8
black,win,,34,2013.06.06,300+8
black,loss,,21,2013.06.06,300+8
black,win,,18,2013.06.06,300+8
black,loss,,23,2013.06.06,300+8
black,win,,30,2013.06.06,300+8
black,win,,17,2013.06.06,300+8
black,loss,,33,2013.06.06,300+8
black,win,,21,2013.06.06,300+8
black,loss,,23,2013.06.06,300+8
black,win,,33,2013.06.06,300+8
black,loss,,12,2013.06.06,300+8
black,loss,,7,2013.06.06,300+8
black,win,,24,2013.06.06,300+6
black,win,,15,2013.06.06,300+8
black,loss,,21,2013.06.06,300+8
black,win,,25,2013.06.05,300+8
black,win,,45,2013.06.05,300+8
black,loss,,30,2013.06.05,300+8
black,loss,,14,2013.06.05,300+8
black,win,,35,2013.06.05,300+8
black,loss,,2,2013.06.05,300+8
black,win,,4,2013.06.05,300+8
black,loss,,21,2013.06.05,300+8
black,win,,36,2013.06.05,300+8
black,loss,,26,2013.06.05,300+8
black,loss,,56,2013.06.05,300+8
