color,score,opening,moves,date,time_control
black,draw,,34,2025.12.20,60+0
black,draw,,20,2025.12.20,60+0
white,loss,,15,2025.12.20,60+0
black,loss,,5,2025.12.20,60+0
white,loss,,26,2025.12.20,60+0
white,loss,,27,2025.12.20,60+0
white,loss,,54,2025.12.19,120+0
black,draw,,102,2025.12.19,120+0
black,win,,20,2025.12.19,120+0
white,win,,22,2025.12.19,120+0
white,win,,40,2025.12.19,120+0
black,win,,1,2025.12.19,120+0
black,win,,40,2025.12.16,15+0
white,win,,41,2025.12.16,15+0
black,win,,34,2025.12.16,15+0
white,win,,47,2025.12.16,15+0
black,win,,23,2025.12.16,15+0
white,win,,34,2025.12.16,15+0
black,draw,,56,2025.12.16,15+0
white,win,,49,2025.12.16,15+0
black,win,,50,2025.12.16,15+0
white,win,,59,2025.12.16,15+0
black,loss,,59,2025.12.16,15+0
white,loss,,15,2025.12.16,15+0
black,loss,,43,2025.12.16,15+0
white,loss,,44,2025.12.16,15+0
black,win,,40,2025.12.16,15+0
white,win,,40,2025.12.16,15+0
black,win,,36,2025.12.16,15+0
white,win,,15,2025.12.16,15+0
black,loss,,45,2025.12.16,15+0
white,win,,44,2025.12.16,15+0
white,win,,31,2025.12.13,60+0
white,loss,,47,2025.12.13,0+2
black,loss,,17,2025.12.13,0+2
white,draw,,38,2025.12.13,0+2
white,win,,18,2025.12.13,0+1
black,draw,,32,2025.12.13,0+1
white,loss,,23,2025.12.13,0+1
black,loss,,23,2025.12.13,0+1
white,win,,35,2025.12.13,0+1
black,win,,68,2025.12.13,0+1
white,win,,16,2025.12.13,0+1
white,win,,26,2025.12.13,0+1
black,win,,43,2025.12.13,0+1
white,loss,,27,2025.12.13,0+1
white,win,,32,2025.12.13,0+1
white,win,,24,2025.12.13,0+1
white,draw,,32,2025.12.13,0+1
white,win,,34,2025.12.13,0+1
black,draw,,42,2025.12.13,0+1
white,loss,,35,2025.12.13,0+1
white,loss,,39,2025.12.13,0+1
black,loss,,9,2025.12.13,0+1
black,loss,,29,2025.12.13,0+1
black,win,,12,2025.12.13,0+1
black,loss,,32,2025.12.13,0+1
black,win,,27,2025.12.13,0+1
black,draw,,30,2025.12.13,0+1
black,draw,,51,2025.12.13,0+1
black,win,,38,2025.12.13,0+1
white,draw,,17,2025.12.13,0+1
white,win,,35,2025.12.13,0+1
black,draw,,28,2025.12.13,0+1
black,win,,54,2025.12.13,15+0
white,win,,37,2025.12.13,15+0
black,draw,,63,2025.12.12,30+0
white,loss,,2,2025.12.05,30+0
white,draw,,59,2025.12.05,30+0
white,loss,,26,2025.11.26,180+2
black,win,,38,2025.11.26,180+2
black,loss,,44,2025.11.25,15+0
white,loss,,42,2025.11.25,15+0
black,win,,48,2025.11.25,15+0
black,win,,28,2025.11.23,180+2
white,loss,,21,2025.11.23,180+0
white,win,,32,2025.11.23,180+2
black,loss,,38,2025.11.23,180+0
black,win,,36,2025.11.23,30+0
white,loss,,52,2025.11.22,15+0
black,draw,,58,2025.11.22,15+0
white,win,,49,2025.11.22,15+0
black,win,,32,2025.11.22,15+0
white,win,,11,2025.11.22,15+0
black,win,,50,2025.11.22,15+0
white,draw,,52,2025.11.22,15+0
black,win,,25,2025.11.22,15+0
white,loss,,43,2025.11.22,15+0
black,loss,,48,2025.11.22,15+0
white,loss,,44,2025.11.22,15+0
black,loss,,56,2025.11.22,15+0
white,loss,,39,2025.11.21,15+0
black,loss,,49,2025.11.21,15+0
black,win,,24,2025.11.19,15+0
white,loss,,50,2025.11.19,15+0
black,win,,49,2025.11.19,15+0
white,win,,35,2025.11.19,15+0
black,loss,,48,2025.11.19,15+0
white,loss,,35,2025.11.19,15+0
black,loss,,29,2025.11.19,15+0
